system,task_type,seed,query_id,success,mrr,latency_ms
CogniSync (Hybrid),code_generation,789,q04_e2,1,1.0,19.7704
CogniSync (Hybrid),code_generation,789,q05_e2,1,1.0,20.936
CogniSync (Hybrid),code_generation,789,q06_e2,1,1.0,23.1078
CogniSync (Hybrid),code_generation,789,q07_e2,1,1.0,19.8138
CogniSync (Hybrid),code_generation,789,q08_e2,1,1.0,24.6322
CogniSync (Hybrid),code_generation,789,q09_e2,1,0.5,35.022
CogniSync (Hybrid),code_generation,789,q10_e2,1,1.0,36.407
CogniSync (Hybrid),code_generation,789,q11_e2,1,1.0,35.1733
CogniSync (Hybrid),code_generation,789,q12_e2,1,1.0,33.8103
CogniSync (Hybrid),code_generation,789,q13_e2,1,1.0,37.2292
CogniSync (Hybrid),code_generation,789,q14_e2,1,1.0,33.9289
CogniSync (Hybrid),code_generation,789,q15_e2,1,1.0,36.9637
CogniSync (Hybrid),code_generation,789,q16_e2,1,0.5,33.2707
CogniSync (Hybrid),code_generation,789,q17_e2,1,1.0,30.3237
CogniSync (Hybrid),code_generation,789,q18_e2,1,1.0,28.7648
CogniSync (Hybrid),code_generation,789,q19_e2,1,0.5,35.9197
CogniSync (Hybrid),code_generation,1337,q00_e2,1,1.0,23.6191
CogniSync (Hybrid),code_generation,1337,q01_e2,1,1.0,22.2494
CogniSync (Hybrid),code_generation,1337,q02_e2,1,1.0,21.2211
CogniSync (Hybrid),code_generation,1337,q03_e2,1,1.0,21.9747
CogniSync (Hybrid),code_generation,1337,q04_e2,1,1.0,32.8663
CogniSync (Hybrid),code_generation,1337,q05_e2,1,1.0,26.7485
CogniSync (Hybrid),code_generation,1337,q06_e2,1,1.0,20.0917
CogniSync (Hybrid),code_generation,1337,q07_e2,1,1.0,19.3391
CogniSync (Hybrid),code_generation,1337,q08_e2,1,1.0,20.6676
CogniSync (Hybrid),code_generation,1337,q09_e2,1,0.5,20.2739
CogniSync (Hybrid),code_generation,1337,q10_e2,1,1.0,21.2167
CogniSync (Hybrid),code_generation,1337,q11_e2,1,1.0,25.8365
CogniSync (Hybrid),code_generation,1337,q12_e2,1,1.0,20.9476
CogniSync (Hybrid),code_generation,1337,q13_e2,1,1.0,20.9115
CogniSync (Hybrid),code_generation,1337,q14_e2,1,1.0,22.3522
CogniSync (Hybrid),code_generation,1337,q15_e2,1,1.0,22.3835
CogniSync (Hybrid),code_generation,1337,q16_e2,1,0.5,22.5778
CogniSync (Hybrid),code_generation,1337,q17_e2,1,1.0,20.6497
CogniSync (Hybrid),code_generation,1337,q18_e2,1,1.0,19.4758
CogniSync (Hybrid),code_generation,1337,q19_e2,1,0.5,22.8938
CogniSync (Hybrid),debugging,42,q00_h1,1,1.0,25.0193
CogniSync (Hybrid),debugging,42,q01_h1,1,1.0,23.0649
CogniSync (Hybrid),debugging,42,q02_h1,1,1.0,23.9612
CogniSync (Hybrid),debugging,42,q03_h1,1,1.0,25.6091
CogniSync (Hybrid),debugging,42,q04_h1,1,0.5,23.1971
CogniSync (Hybrid),debugging,42,q05_h1,1,1.0,22.4724
CogniSync (Hybrid),debugging,42,q06_h1,1,1.0,23.1505
CogniSync (Hybrid),debugging,42,q07_h1,1,1.0,23.3544
CogniSync (Hybrid),debugging,42,q08_h1,1,1.0,36.6285
CogniSync (Hybrid),debugging,42,q09_h1,1,0.3333,30.5112
CogniSync (Hybrid),debugging,42,q10_h1,1,1.0,25.3486
CogniSync (Hybrid),debugging,42,q11_h1,1,1.0,24.0928
CogniSync (Hybrid),debugging,42,q12_h1,1,0.5,22.7729
CogniSync (Hybrid),debugging,42,q13_h1,1,1.0,22.6759
CogniSync (Hybrid),debugging,42,q14_h1,1,1.0,24.2408
CogniSync (Hybrid),debugging,42,q15_h1,1,1.0,24.2268
CogniSync (Hybrid),debugging,42,q16_h1,1,0.2,23.1817
CogniSync (Hybrid),debugging,42,q17_h1,1,0.2,24.0691
CogniSync (Hybrid),debugging,42,q18_h1,1,1.0,22.6078
CogniSync (Hybrid),debugging,42,q19_h1,0,0.0,23.5582
CogniSync (Hybrid),debugging,123,q00_h1,1,1.0,24.4098
CogniSync (Hybrid),debugging,123,q01_h1,1,1.0,22.366
CogniSync (Hybrid),debugging,123,q02_h1,1,1.0,25.336
CogniSync (Hybrid),debugging,123,q03_h1,1,1.0,25.4234
CogniSync (Hybrid),debugging,123,q04_h1,1,0.5,23.9589
CogniSync (Hybrid),debugging,123,q05_h1,1,1.0,22.3192
CogniSync (Hybrid),debugging,123,q06_h1,1,1.0,23.0585
CogniSync (Hybrid),debugging,123,q07_h1,1,1.0,25.1095
CogniSync (Hybrid),debugging,123,q08_h1,1,1.0,28.3999
CogniSync (Hybrid),debugging,123,q09_h1,1,0.3333,23.2965
CogniSync (Hybrid),debugging,123,q10_h1,1,1.0,28.9388
CogniSync (Hybrid),debugging,123,q11_h1,1,1.0,33.8497
CogniSync (Hybrid),debugging,123,q12_h1,1,0.5,22.1068
CogniSync (Hybrid),debugging,123,q13_h1,1,1.0,22.3582
CogniSync (Hybrid),debugging,123,q14_h1,1,1.0,24.4025
CogniSync (Hybrid),debugging,123,q15_h1,1,1.0,23.5693
CogniSync (Hybrid),debugging,123,q16_h1,1,0.2,23.7499
CogniSync (Hybrid),debugging,123,q17_h1,1,0.2,23.6605
CogniSync (Hybrid),debugging,123,q18_h1,1,1.0,22.4421
CogniSync (Hybrid),debugging,123,q19_h1,0,0.0,24.6933
CogniSync (Hybrid),debugging,456,q00_h1,1,1.0,37.0568
CogniSync (Hybrid),debugging,456,q01_h1,1,1.0,37.6598
CogniSync (Hybrid),debugging,456,q02_h1,1,1.0,35.2076
CogniSync (Hybrid),debugging,456,q03_h1,1,1.0,34.7956
CogniSync (Hybrid),debugging,456,q04_h1,1,0.5,35.9082
CogniSync (Hybrid),debugging,456,q05_h1,1,1.0,35.4368
CogniSync (Hybrid),debugging,456,q06_h1,1,1.0,47.2805
CogniSync (Hybrid),debugging,456,q07_h1,1,1.0,43.1635
CogniSync (Hybrid),debugging,456,q08_h1,1,1.0,36.5392
CogniSync (Hybrid),debugging,456,q09_h1,1,0.3333,34.3566
CogniSync (Hybrid),debugging,456,q10_h1,1,1.0,34.6149
CogniSync (Hybrid),debugging,456,q11_h1,1,1.0,34.1159
CogniSync (Hybrid),debugging,456,q12_h1,1,0.5,32.4042
CogniSync (Hybrid),debugging,456,q13_h1,1,1.0,33.5289
CogniSync (Hybrid),debugging,456,q14_h1,1,1.0,41.231
CogniSync (Hybrid),debugging,456,q15_h1,1,1.0,37.8981
CogniSync (Hybrid),debugging,456,q16_h1,1,0.2,36.3244
CogniSync (Hybrid),debugging,456,q17_h1,1,0.2,37.3691
CogniSync (Hybrid),debugging,456,q18_h1,1,1.0,32.1838
CogniSync (Hybrid),debugging,456,q19_h1,0,0.0,34.9057
CogniSync (Hybrid),debugging,789,q00_h1,1,1.0,24.2019
CogniSync (Hybrid),debugging,789,q01_h1,1,1.0,21.6238
CogniSync (Hybrid),debugging,789,q02_h1,1,1.0,22.0236
CogniSync (Hybrid),debugging,789,q03_h1,1,1.0,23.1929
CogniSync (Hybrid),debugging,789,q04_h1,1,0.5,22.9262
CogniSync (Hybrid),debugging,789,q05_h1,1,1.0,22.5518
CogniSync (Hybrid),debugging,789,q06_h1,1,1.0,23.3138
CogniSync (Hybrid),debugging,789,q07_h1,1,1.0,22.1523
CogniSync (Hybrid),debugging,789,q08_h1,1,1.0,23.1852
CogniSync (Hybrid),debugging,789,q09_h1,1,0.3333,22.834
CogniSync (Hybrid),debugging,789,q10_h1,1,1.0,23.4406
CogniSync (Hybrid),debugging,789,q11_h1,1,1.0,23.0013
CogniSync (Hybrid),debugging,789,q12_h1,1,0.5,22.1788
CogniSync (Hybrid),debugging,789,q13_h1,1,1.0,22.3207
CogniSync (Hybrid),debugging,789,q14_h1,1,1.0,23.7225
CogniSync (Hybrid),debugging,789,q15_h1,1,1.0,23.4826
CogniSync (Hybrid),debugging,789,q16_h1,1,0.2,22.9326
CogniSync (Hybrid),debugging,789,q17_h1,1,0.2,23.2357
CogniSync (Hybrid),debugging,789,q18_h1,1,1.0,22.1162
CogniSync (Hybrid),debugging,789,q19_h1,0,0.0,26.06
CogniSync (Hybrid),debugging,1337,q00_h1,1,1.0,24.7536
CogniSync (Hybrid),debugging,1337,q01_h1,1,1.0,21.9751
CogniSync (Hybrid),debugging,1337,q02_h1,1,1.0,21.6896
CogniSync (Hybrid),debugging,1337,q03_h1,1,1.0,22.6334
CogniSync (Hybrid),debugging,1337,q04_h1,1,0.5,22.7411
CogniSync (Hybrid),debugging,1337,q05_h1,1,1.0,22.8585
CogniSync (Hybrid),debugging,1337,q06_h1,1,1.0,23.1696
CogniSync (Hybrid),debugging,1337,q07_h1,1,1.0,22.6823
CogniSync (Hybrid),debugging,1337,q08_h1,1,1.0,24.1773
CogniSync (Hybrid),debugging,1337,q09_h1,1,0.3333,23.8141
CogniSync (Hybrid),debugging,1337,q10_h1,1,1.0,25.7211
CogniSync (Hybrid),debugging,1337,q11_h1,1,1.0,23.8713
CogniSync (Hybrid),debugging,1337,q12_h1,1,0.5,22.6226
CogniSync (Hybrid),debugging,1337,q13_h1,1,1.0,22.8426
CogniSync (Hybrid),debugging,1337,q14_h1,1,1.0,23.9615
CogniSync (Hybrid),debugging,1337,q15_h1,1,1.0,23.4682
CogniSync (Hybrid),debugging,1337,q16_h1,1,0.2,22.9438
CogniSync (Hybrid),debugging,1337,q17_h1,1,0.2,23.7903
CogniSync (Hybrid),debugging,1337,q18_h1,1,1.0,22.7118
CogniSync (Hybrid),debugging,1337,q19_h1,0,0.0,23.9722
CogniSync (Hybrid),api_integration,42,q00_m1,1,0.25,19.4493
CogniSync (Hybrid),api_integration,42,q01_m1,1,1.0,20.8616
CogniSync (Hybrid),api_integration,42,q02_m1,1,0.5,19.4825
CogniSync (Hybrid),api_integration,42,q03_m1,1,1.0,19.7322
CogniSync (Hybrid),api_integration,42,q04_m1,1,1.0,20.9403
CogniSync (Hybrid),api_integration,42,q05_m1,1,1.0,20.6195
CogniSync (Hybrid),api_integration,42,q06_m1,1,0.5,20.2005
CogniSync (Hybrid),api_integration,42,q07_m1,1,1.0,20.559
CogniSync (Hybrid),api_integration,42,q08_m1,1,0.3333,20.9431
CogniSync (Hybrid),api_integration,42,q09_m1,1,1.0,21.935
CogniSync (Hybrid),api_integration,42,q10_m1,1,0.5,20.3918
CogniSync (Hybrid),api_integration,42,q11_m1,1,1.0,19.0381
CogniSync (Hybrid),api_integration,42,q12_m1,1,0.5,19.0283
CogniSync (Hybrid),api_integration,42,q13_m1,1,1.0,20.2904
CogniSync (Hybrid),api_integration,42,q14_m1,1,1.0,20.2167
CogniSync (Hybrid),api_integration,42,q15_m1,1,0.25,18.743
CogniSync (Hybrid),api_integration,42,q16_m1,1,0.2,21.4276
CogniSync (Hybrid),api_integration,42,q17_m1,1,0.25,22.7687
CogniSync (Hybrid),api_integration,42,q18_m1,1,0.5,20.4377
CogniSync (Hybrid),api_integration,42,q19_m1,1,0.25,20.7369
CogniSync (Hybrid),api_integration,123,q00_m1,1,0.25,29.0801
CogniSync (Hybrid),api_integration,123,q01_m1,1,1.0,30.9889
CogniSync (Hybrid),api_integration,123,q02_m1,1,0.5,28.7233
CogniSync (Hybrid),api_integration,123,q03_m1,1,1.0,27.9846
CogniSync (Hybrid),api_integration,123,q04_m1,1,1.0,31.3456
CogniSync (Hybrid),api_integration,123,q05_m1,1,1.0,30.4534
CogniSync (Hybrid),api_integration,123,q06_m1,1,0.5,28.5291
CogniSync (Hybrid),api_integration,123,q07_m1,1,1.0,29.0333
CogniSync (Hybrid),api_integration,123,q08_m1,1,0.3333,29.6177
CogniSync (Hybrid),api_integration,123,q09_m1,1,1.0,32.9688
CogniSync (Hybrid),api_integration,123,q10_m1,1,0.5,30.8613
CogniSync (Hybrid),api_integration,123,q11_m1,1,1.0,28.8078
CogniSync (Hybrid),api_integration,123,q12_m1,1,0.5,28.3547
CogniSync (Hybrid),api_integration,123,q13_m1,1,1.0,32.0916
CogniSync (Hybrid),api_integration,123,q14_m1,1,1.0,31.4039
CogniSync (Hybrid),api_integration,123,q15_m1,1,0.25,28.3798
CogniSync (Hybrid),api_integration,123,q16_m1,1,0.2,31.5437
CogniSync (Hybrid),api_integration,123,q17_m1,1,0.25,31.6839
CogniSync (Hybrid),api_integration,123,q18_m1,1,0.5,27.9107
CogniSync (Hybrid),api_integration,123,q19_m1,1,0.25,30.1888
CogniSync (Hybrid),api_integration,456,q00_m1,1,0.25,21.5361
CogniSync (Hybrid),api_integration,456,q01_m1,1,1.0,20.6389
CogniSync (Hybrid),api_integration,456,q02_m1,1,0.5,18.998
CogniSync (Hybrid),api_integration,456,q03_m1,1,1.0,18.8632
CogniSync (Hybrid),api_integration,456,q04_m1,1,1.0,20.7038
CogniSync (Hybrid),api_integration,456,q05_m1,1,1.0,19.8313
CogniSync (Hybrid),api_integration,456,q06_m1,1,0.5,19.4485
CogniSync (Hybrid),api_integration,456,q07_m1,1,1.0,19.0935
CogniSync (Hybrid),api_integration,456,q08_m1,1,0.3333,20.7514
CogniSync (Hybrid),api_integration,456,q09_m1,1,1.0,21.247
CogniSync (Hybrid),api_integration,456,q10_m1,1,0.5,20.6333
CogniSync (Hybrid),api_integration,456,q11_m1,1,1.0,20.6441
CogniSync (Hybrid),api_integration,456,q12_m1,1,0.5,19.0751
CogniSync (Hybrid),api_integration,456,q13_m1,1,1.0,20.5
CogniSync (Hybrid),api_integration,456,q14_m1,1,1.0,20.9883
CogniSync (Hybrid),api_integration,456,q15_m1,1,0.25,19.5448
CogniSync (Hybrid),api_integration,456,q16_m1,1,0.2,19.4803
CogniSync (Hybrid),api_integration,456,q17_m1,1,0.25,20.5312
CogniSync (Hybrid),api_integration,456,q18_m1,1,0.5,19.2153
CogniSync (Hybrid),api_integration,456,q19_m1,1,0.25,20.7223
CogniSync (Hybrid),api_integration,789,q00_m1,1,0.25,20.5457
CogniSync (Hybrid),api_integration,789,q01_m1,1,1.0,20.7543
CogniSync (Hybrid),api_integration,789,q02_m1,1,0.5,20.2383
CogniSync (Hybrid),api_integration,789,q03_m1,1,1.0,19.7135
CogniSync (Hybrid),api_integration,789,q04_m1,1,1.0,21.4227
CogniSync (Hybrid),api_integration,789,q05_m1,1,1.0,25.2263
CogniSync (Hybrid),api_integration,789,q06_m1,1,0.5,30.5336
CogniSync (Hybrid),api_integration,789,q07_m1,1,1.0,20.6533
CogniSync (Hybrid),api_integration,789,q08_m1,1,0.3333,20.7505
CogniSync (Hybrid),api_integration,789,q09_m1,1,1.0,21.6003
CogniSync (Hybrid),api_integration,789,q10_m1,1,0.5,21.5391
CogniSync (Hybrid),api_integration,789,q11_m1,1,1.0,19.8667
CogniSync (Hybrid),api_integration,789,q12_m1,1,0.5,19.2612
CogniSync (Hybrid),api_integration,789,q13_m1,1,1.0,21.8529
CogniSync (Hybrid),api_integration,789,q14_m1,1,1.0,22.4606
CogniSync (Hybrid),api_integration,789,q15_m1,1,0.25,19.9238
CogniSync (Hybrid),api_integration,789,q16_m1,1,0.2,21.2883
CogniSync (Hybrid),api_integration,789,q17_m1,1,0.25,21.9887
CogniSync (Hybrid),api_integration,789,q18_m1,1,0.5,20.3505
CogniSync (Hybrid),api_integration,789,q19_m1,1,0.25,21.7103
CogniSync (Hybrid),api_integration,1337,q00_m1,1,0.25,19.9757
CogniSync (Hybrid),api_integration,1337,q01_m1,1,1.0,21.1569
CogniSync (Hybrid),api_integration,1337,q02_m1,1,0.5,19.4995
CogniSync (Hybrid),api_integration,1337,q03_m1,1,1.0,19.5152
CogniSync (Hybrid),api_integration,1337,q04_m1,1,1.0,21.0383
CogniSync (Hybrid),api_integration,1337,q05_m1,1,1.0,20.799
CogniSync (Hybrid),api_integration,1337,q06_m1,1,0.5,20.0479
CogniSync (Hybrid),api_integration,1337,q07_m1,1,1.0,20.7043
CogniSync (Hybrid),api_integration,1337,q08_m1,1,0.3333,21.9163
CogniSync (Hybrid),api_integration,1337,q09_m1,1,1.0,20.1916
CogniSync (Hybrid),api_integration,1337,q10_m1,1,0.5,19.974
CogniSync (Hybrid),api_integration,1337,q11_m1,1,1.0,20.0907
CogniSync (Hybrid),api_integration,1337,q12_m1,1,0.5,30.4363
CogniSync (Hybrid),api_integration,1337,q13_m1,1,1.0,24.5579
CogniSync (Hybrid),api_integration,1337,q14_m1,1,1.0,21.7864
CogniSync (Hybrid),api_integration,1337,q15_m1,1,0.25,19.6918
CogniSync (Hybrid),api_integration,1337,q16_m1,1,0.2,20.1968
CogniSync (Hybrid),api_integration,1337,q17_m1,1,0.25,22.6088
CogniSync (Hybrid),api_integration,1337,q18_m1,1,0.5,22.9278
CogniSync (Hybrid),api_integration,1337,q19_m1,1,0.25,25.9338
CogniSync (Hybrid),cross_session,42,q00_m2,0,0.0,32.5274
CogniSync (Hybrid),cross_session,42,q00_h2,1,0.3333,44.303
CogniSync (Hybrid),cross_session,42,q01_m2,1,0.5,37.9059
CogniSync (Hybrid),cross_session,42,q01_h2,1,1.0,43.4265
CogniSync (Hybrid),cross_session,42,q02_m2,1,0.2,36.3988
CogniSync (Hybrid),cross_session,42,q02_h2,0,1.0,41.4095
CogniSync (Hybrid),cross_session,42,q03_m2,1,0.5,37.9531
CogniSync (Hybrid),cross_session,42,q03_h2,0,1.0,38.3821
CogniSync (Hybrid),cross_session,42,q04_m2,1,1.0,35.3406
CogniSync (Hybrid),cross_session,42,q04_h2,1,1.0,40.965
CogniSync (Hybrid),cross_session,42,q05_m2,1,1.0,35.315
CogniSync (Hybrid),cross_session,42,q05_h2,1,1.0,35.8149
CogniSync (Hybrid),cross_session,42,q06_m2,1,0.25,31.3004
CogniSync (Hybrid),cross_session,42,q06_h2,1,1.0,38.1605
CogniSync (Hybrid),cross_session,42,q07_m2,1,0.5,30.6316
CogniSync (Hybrid),cross_session,42,q07_h2,1,1.0,36.1282
CogniSync (Hybrid),cross_session,42,q08_m2,1,0.5,37.959
CogniSync (Hybrid),cross_session,42,q08_h2,0,1.0,39.2896
CogniSync (Hybrid),cross_session,42,q09_m2,1,1.0,37.8629
CogniSync (Hybrid),cross_session,42,q09_h2,1,1.0,38.6154
CogniSync (Hybrid),cross_session,123,q00_m2,0,0.0,24.0772
CogniSync (Hybrid),cross_session,123,q00_h2,1,0.3333,27.4317
CogniSync (Hybrid),cross_session,123,q01_m2,1,0.5,24.1157
CogniSync (Hybrid),cross_session,123,q01_h2,1,1.0,28.5618
CogniSync (Hybrid),cross_session,123,q02_m2,1,0.2,24.2174
CogniSync (Hybrid),cross_session,123,q02_h2,0,1.0,26.4476
CogniSync (Hybrid),cross_session,123,q03_m2,1,0.5,23.3996
CogniSync (Hybrid),cross_session,123,q03_h2,0,1.0,26.3912
CogniSync (Hybrid),cross_session,123,q04_m2,1,1.0,24.9434
CogniSync (Hybrid),cross_session,123,q04_h2,1,1.0,28.7769
CogniSync (Hybrid),cross_session,123,q05_m2,1,1.0,24.9813
CogniSync (Hybrid),cross_session,123,q05_h2,1,1.0,24.449
CogniSync (Hybrid),cross_session,123,q06_m2,1,0.25,22.97
CogniSync (Hybrid),cross_session,123,q06_h2,1,1.0,27.4319
CogniSync (Hybrid),cross_session,123,q07_m2,1,0.5,23.9626
CogniSync (Hybrid),cross_session,123,q07_h2,1,1.0,27.1323
CogniSync (Hybrid),cross_session,123,q08_m2,1,0.5,23.1824
CogniSync (Hybrid),cross_session,123,q08_h2,0,1.0,25.8683
CogniSync (Hybrid),cross_session,123,q09_m2,1,1.0,26.8521
CogniSync (Hybrid),cross_session,123,q09_h2,1,1.0,47.8457
CogniSync (Hybrid),cross_session,456,q00_m2,0,0.0,23.2697
CogniSync (Hybrid),cross_session,456,q00_h2,1,0.3333,26.8841
CogniSync (Hybrid),cross_session,456,q01_m2,1,0.5,25.7668
CogniSync (Hybrid),cross_session,456,q01_h2,1,1.0,27.8541
CogniSync (Hybrid),cross_session,456,q02_m2,1,0.2,23.7993
CogniSync (Hybrid),cross_session,456,q02_h2,0,1.0,25.4181
CogniSync (Hybrid),cross_session,456,q03_m2,1,0.5,22.7239
CogniSync (Hybrid),cross_session,456,q03_h2,0,1.0,25.5544
CogniSync (Hybrid),cross_session,456,q04_m2,1,1.0,24.2434
CogniSync (Hybrid),cross_session,456,q04_h2,1,1.0,26.8912
CogniSync (Hybrid),cross_session,456,q05_m2,1,1.0,24.2499
CogniSync (Hybrid),cross_session,456,q05_h2,1,1.0,25.9792
CogniSync (Hybrid),cross_session,456,q06_m2,1,0.25,23.521
CogniSync (Hybrid),cross_session,456,q06_h2,1,1.0,28.2961
CogniSync (Hybrid),cross_session,456,q07_m2,1,0.5,23.7576
CogniSync (Hybrid),cross_session,456,q07_h2,1,1.0,26.7429
CogniSync (Hybrid),cross_session,456,q08_m2,1,0.5,24.176
CogniSync (Hybrid),cross_session,456,q08_h2,0,1.0,27.3405
CogniSync (Hybrid),cross_session,456,q09_m2,1,1.0,24.2217
CogniSync (Hybrid),cross_session,456,q09_h2,1,1.0,26.1916
CogniSync (Hybrid),cross_session,789,q00_m2,0,0.0,22.2999
CogniSync (Hybrid),cross_session,789,q00_h2,1,0.3333,26.5497
CogniSync (Hybrid),cross_session,789,q01_m2,1,0.5,24.8766
CogniSync (Hybrid),cross_session,789,q01_h2,1,1.0,27.2665
CogniSync (Hybrid),cross_session,789,q02_m2,1,0.2,27.2127
CogniSync (Hybrid),cross_session,789,q02_h2,0,1.0,25.6938
CogniSync (Hybrid),cross_session,789,q03_m2,1,0.5,22.8321
CogniSync (Hybrid),cross_session,789,q03_h2,0,1.0,25.8032
CogniSync (Hybrid),cross_session,789,q04_m2,1,1.0,23.744
CogniSync (Hybrid),cross_session,789,q04_h2,1,1.0,27.7947
CogniSync (Hybrid),cross_session,789,q05_m2,1,1.0,23.4874
CogniSync (Hybrid),cross_session,789,q05_h2,1,1.0,23.1763
CogniSync (Hybrid),cross_session,789,q06_m2,1,0.25,23.3176
CogniSync (Hybrid),cross_session,789,q06_h2,1,1.0,27.7639
CogniSync (Hybrid),cross_session,789,q07_m2,1,0.5,23.4204
CogniSync (Hybrid),cross_session,789,q07_h2,1,1.0,26.1166
CogniSync (Hybrid),cross_session,789,q08_m2,1,0.5,23.9925
CogniSync (Hybrid),cross_session,789,q08_h2,0,1.0,27.9896
CogniSync (Hybrid),cross_session,789,q09_m2,1,1.0,23.9017
CogniSync (Hybrid),cross_session,789,q09_h2,1,1.0,26.3955
CogniSync (Hybrid),cross_session,1337,q00_m2,0,0.0,32.3797
CogniSync (Hybrid),cross_session,1337,q00_h2,1,0.3333,38.5141
CogniSync (Hybrid),cross_session,1337,q01_m2,1,0.5,34.5125
CogniSync (Hybrid),cross_session,1337,q01_h2,1,1.0,44.2731
CogniSync (Hybrid),cross_session,1337,q02_m2,1,0.2,45.75
CogniSync (Hybrid),cross_session,1337,q02_h2,0,1.0,42.2145
CogniSync (Hybrid),cross_session,1337,q03_m2,1,0.5,37.2234
CogniSync (Hybrid),cross_session,1337,q03_h2,0,1.0,37.5292
